iter	Logloss
0	0.6302251317
1	0.5789735006
2	0.5367010039
3	0.5017972742
4	0.4742416576
5	0.4514364746
6	0.4318285266
7	0.4157510122
8	0.4021903317
9	0.3913801394
10	0.3818183148
11	0.3735907655
12	0.3668331314
13	0.3611881172
14	0.3565546133
15	0.3526126061
16	0.3489550698
17	0.345992565
18	0.3433660595
19	0.3411366212
20	0.3390630921
21	0.3374086909
22	0.3358381827
23	0.3344086498
24	0.3332847269
25	0.3322381276
26	0.3312576411
27	0.3304104225
28	0.329670154
29	0.3288471458
30	0.3282524175
31	0.3277126727
32	0.3271519734
33	0.3265868941
34	0.3260729277
35	0.3257057786
36	0.3251950689
37	0.3248793814
38	0.3244308559
39	0.3240544459
40	0.3237048636
41	0.3233442784
42	0.3230316415
43	0.322741967
44	0.3224873815
45	0.3222183633
46	0.3219334237
47	0.321703225
48	0.321435104
49	0.3211753729
50	0.3209769756
51	0.3207264934
52	0.3205062801
53	0.3202858185
54	0.3200802275
55	0.3198817162
56	0.3196429734
57	0.3194478802
58	0.3192856022
59	0.3191175016
60	0.3189539087
61	0.3186955901
62	0.3185256297
63	0.3183599965
64	0.3181810599
65	0.3179444147
66	0.3177961852
67	0.3176507873
68	0.3174897927
69	0.317347855
70	0.3171431808
71	0.3169883472
72	0.3168511474
73	0.3167484762
74	0.3165963182
75	0.3164464277
76	0.3162844513
77	0.3161533896
78	0.3160229138
79	0.3158948936
80	0.3157468696
81	0.3156295115
82	0.315527848
83	0.315402049
84	0.3152587574
85	0.3151191843
86	0.3149764627
87	0.3147713431
88	0.3145806914
89	0.3144623829
90	0.3143474608
91	0.314230192
92	0.3141353574
93	0.3140425793
94	0.3139117547
95	0.3138063322
96	0.3136580845
97	0.3135450294
98	0.3134437989
99	0.3133260873
100	0.3132040316
101	0.313109132
102	0.3129386413
103	0.3128166658
104	0.3126842519
105	0.3125844568
106	0.3124537313
107	0.3123145303
108	0.3122222343
109	0.3121389363
110	0.3119744451
111	0.311844297
112	0.3117319532
113	0.3116562591
114	0.3115555785
115	0.3114509528
116	0.3113628592
117	0.3112891967
118	0.3111826786
119	0.31109057
120	0.310975202
121	0.3108672213
122	0.3107532366
123	0.3106264806
124	0.3105246933
125	0.3104164963
126	0.3103364483
127	0.3102410088
128	0.3101387122
129	0.3100494767
130	0.3099662211
131	0.3098587576
132	0.3097750416
133	0.3096579285
134	0.3095547193
135	0.309475756
